sku,attribute_code,value
34237-Big-Bang-Se,manufacturer,Big Bang
34241-D-3-1,manufacturer,TAEYANG
34288-C-3-2,manufacturer,Cherry Bullet
34294-D-4-3,manufacturer,GWSN
34314-C-4-1,manufacturer,IU
34316-C-2-1,manufacturer,IU
34330-K-5-2,manufacturer,NU`EST
34331-K-5-3,manufacturer,NU`EST
34338-NUEST-Mini,manufacturer,NU`EST
34346-N-1-3,manufacturer,TVXQ!
34357-O4-2,manufacturer,INFINITE
34362-H-2-2,manufacturer,KARD
34368-J-2-3,manufacturer,INFINITE
34375-I-4-2,manufacturer,INFINITE
34379-I-4-2,manufacturer,INFINITE
36270-D-3-1,manufacturer,Girls' Generation
37776-N3-2,manufacturer,SUZY
38094-N-2-3,manufacturer,WINNER
38095-WINNER-Single,manufacturer,WINNER
38104-H-4-3,manufacturer,WINNER
38109-K-4-3,manufacturer,WINNER
38112-K4-3,manufacturer,WINNER
38112-K-4-3,manufacturer,WINNER
38113-N-2-2,manufacturer,WINNER
38115-I-2-2,manufacturer,WINNER
38116-I-2-2,manufacturer,WINNER
38117-I-2-2,manufacturer,WINNER
38121-I 2-2,manufacturer,WINNER
38124-F-4-5,manufacturer,WANNA ONE
38125-F-4-5,manufacturer,WANNA ONE
38134-F-3-4,manufacturer,WANNA ONE
38136-F-3-4,manufacturer,WANNA ONE
38188-K-5-2,manufacturer,SF9
38189-K-5-2,manufacturer,SF9
38240-C1-2,manufacturer,MAMAMOO
38242-C1-2,manufacturer,MAMAMOO
38246-C-3-1,manufacturer,MAMAMOO
38247-C3-1,manufacturer,MAMAMOO
38251-E-3-1,manufacturer,iKON
38253-E-3-2,manufacturer,iKON
38261-E-3-2,manufacturer,iKON
38266-H-3-2,manufacturer,iKON
38269-E-3-3,manufacturer,iKON
38270-E-3-3,manufacturer,iKON
38308-L-5-2,manufacturer,CHUNG HA
38311-L-3-1,manufacturer,CHUNG HA
38314-L-2-2,manufacturer,Cherry Bullet
38346-ASTRO-SPECIAL-A,manufacturer,ASTRO
38367-H-4-2,manufacturer,GOT7
38397-I-2-2,manufacturer,GOT7
38399-GOT7-Album,manufacturer,GOT7
38411-E-4-6,manufacturer,GOT7
38414-J-2*2,manufacturer,Jus2
38417-H-4*2,manufacturer,GOT7
38418-L1*1,manufacturer,GOT7
38425-BTOB-Mini-Alb,manufacturer,BTOB
38428-BTOB-Mini-Alb,manufacturer,BTOB
38430-BTOB-Mini-Alb,manufacturer,BTOB
38485-B-4-6,manufacturer,EXO
38513-A-4-5,manufacturer,BTS
38514-A-4-5,manufacturer,BTS
38515-A-4-2,manufacturer,BTS
38526-A-4-4,manufacturer,BTS
38544-A-4-3,manufacturer,BTS
38635-WJSN-Cosmic-G,manufacturer,WJSN
38639-WJSN-Cosmic,manufacturer,WJSN
38644-M-2-3,manufacturer,WJSN
38699-M-3-2,manufacturer,Red Velvet
38702-M-3-3,manufacturer,Red Velvet
38703-M-3-2,manufacturer,Red Velvet
38706-K-2-2,manufacturer,NCT
38707-K-2-3,manufacturer,NCT
38708-2-D4,manufacturer,NCT
38714-K-2-3,manufacturer,NCT
38720-K-2-2,manufacturer,NCT
38769-H-3-3,manufacturer,SHINEE
38792-SHINE-KEY,manufacturer,KEY
38813-Super-Junior,manufacturer,Super Junior
38823-Super-Junior-Sp,manufacturer,Super Junior
38840-K-3-2,manufacturer,Super Junior
38841-K-3-2,manufacturer,Super Junior
38844-G-5-2,manufacturer,Super Junior
38845-G-4-2,manufacturer,Super Junior
38849-I-2-1,manufacturer,Super Junior
38851-I-2-3,manufacturer,Super Junior
38857-R3-2,manufacturer,Super Junior
38858-Kyu-Hyun-Sing,manufacturer,Kyu Hyun
38862-K-4-1,manufacturer,YESUNG
38865-G-3-1,manufacturer,CHUNG HA
38868-K-4-1,manufacturer,YESUNG
38871-GFRIEND-1st-M,manufacturer,GFRIEND
38886-H-2-3,manufacturer,EUN JIWON
38887-H-2-3,manufacturer,EUN JIWON
38888-H-2-3,manufacturer,EUN JIWON
38897-L-2-1,manufacturer,EXID
38901-B-4-3,manufacturer,EXO
38949-VIXX-Mini Alb,manufacturer,VIXX
38951-M3-2,manufacturer,VIXX
38970-I-3-3,manufacturer,VIXX
38972-J-2-2,manufacturer,VIXX
38987-I-3-3,manufacturer,SF9
38989-I-3-3,manufacturer,SF9
39103-L-2*2,manufacturer,MOMOLAND
39117-L-4*2,manufacturer,F(X) LUNA
39143-K-5-3,manufacturer,DAY 6
39149-F-3*2,manufacturer,AB6IX
39150-F-3*2,manufacturer,AB6IX
39151-F-3*2,manufacturer,AB6IX
39156-I-5*1,manufacturer,DAY 6
39157-DAY6-Mini-Al,manufacturer,DAY 6
39159-I-5*1,manufacturer,DAY 6
39221-R3*3,manufacturer,EXO
39223-B-2*1,manufacturer,Kang Daniel
39226-J-4*3,manufacturer,CIX
39286-H-3*3,manufacturer,NU'EST
39287-H-3*3,manufacturer,NU'EST
39288-H-3*3,manufacturer,NU'EST
39289-H-3*3,manufacturer,NU'EST
39306-I-2*3,manufacturer,Park Ji Hoon
39513-MONSTA-X-Mini,manufacturer,MONSTA X
39521-E-4-3,manufacturer,MONSTA X
39522-E-4-2,manufacturer,MONSTA X
39533-E-4-1,manufacturer,MONSTA X
39537-MONSTA-X-2ND-A,manufacturer,MONSTA X
39537-MONSTA-X-2ND-AL,manufacturer,MONSTA X
39540-E-4-2,manufacturer,MONSTA X
39548-Apink-Mini-Al,manufacturer,Apink
39573-C-4-3,manufacturer,Apink
39590-I-3-1,manufacturer,GOT7
39593-G-5-2,manufacturer,X1
39594-G-5-2,manufacturer,X1
39715-K6-3,manufacturer,JINU
39716-K6-3,manufacturer,JINU
39765-M-2-3,manufacturer,Weki Meki
39767-M-2-3,manufacturer,Weki Meki
39769-N-2-2,manufacturer,Weki Meki
39771-Weki-Meki-Sin,manufacturer,Weki Meki
39776-C-4-2,manufacturer,EVERGLOW
39781-K-5-3,manufacturer,VIINI
39782-K-5-3,manufacturer,VIINI
39824-L-3-2,manufacturer,UP10TION
39853-DIA-Mini-Albu,manufacturer,DIA
39855-L-3-2,manufacturer,DIA
39886-Q3-1,manufacturer,Seventeen
39913-1,manufacturer,YOONA
39949-L-3-1,manufacturer,BOLBBALGAN4
40013-E-2*6,manufacturer,ATEEZ
40033-G-5*3,manufacturer,AKMU
40039-E-3*1,manufacturer,ONEUS
40046-I-4*3,manufacturer,ONF
40048-J-3*3,manufacturer,ONF
40049-K-4*2,manufacturer,ONF
40059-L-4*2,manufacturer,UNI.T
40062-K-5*3,manufacturer,Kim Jae Hwan
40067-E-4*4,manufacturer,MONSTA X
40069-E-4*4,manufacturer,MONSTA X
40089-TEEN-TOP-Albu,manufacturer,TEEN TOP
40094-J-4*2,manufacturer,TEEN TOP
40101-J-4*2,manufacturer,TEEN TOP
40123-K-3*2,manufacturer,NU'EST
40124-K-3*2,manufacturer,NU'EST
40125-K-3*2,manufacturer,NU'EST
40127-D-3*6,manufacturer,TAEYEON
40128-D-3*1,manufacturer,N.Flying
40130-I-3*2,manufacturer,N.Flying
40132-N.Flying-Mini,manufacturer,N.Flying
40133-J-3*2,manufacturer,N.Flying
40140-I-5*3,manufacturer,DAY 6
40145-N-3*1,manufacturer,GOT7
40146-N-3*1,manufacturer,GOT7
40148-VAV-Mini-Alb,manufacturer,vav
40152-H-3*3,manufacturer,WINNER
40155-I-5*3,manufacturer,DAY 6
40160-VICTON-Mini-A,manufacturer,VICTON
40171-VICTON-Mini-A,manufacturer,VICTON
40172-F-4*3,manufacturer,VICTON
40173-J1*2,manufacturer,SuperM
40185-Super-Junior,manufacturer,Super Junior
40212-O1*1,manufacturer,TVXQ!
