"There is no H1 tag on the page.","There is no H1 tag on the page."
"One H1 tag — optimal.","One H1 tag — optimal."
"Few H1 tags. Try to use one H1 tag.","Few H1 tags. Try to use one H1 tag."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 image(s) without ALT tag"
"%1 images with correct alt attribute.","%1 images with correct alt attribute."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 characters — not good. Try to enlarge it to 160 characters."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 characters — not good. Try to minimize it to 300 characters."
"%1 characters — optimal.","%1 characters — optimal."
"%1 characters, %2 words.","%1 characters, %2 words."
"Is not set","Is not set"
"No autolinks detected","No autolinks detected"
"Autolinks successfully applied","Autolinks successfully applied"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 characters — not good. Try to enlarge it to 10 characters."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 characters — not good. Try to minimize it to 70 characters."
"Page analysis","Page analysis"
"SEO Toolbar","SEO Toolbar"
"Enable Toolbar","Enable Toolbar"
"Show info only for IP","Show info only for IP"
